uuid,ordering,Trefwoord,Titel,Beschrijving,Trefwoord (en),Titel (en),Beschrijving (en),Afbeelding,spacer,Afbeelding url,Linked media-uuid,Linked media-name,Linked media-folder,Linked media-filesize,Linked media-mimetype,Record notes-uuid,Record notes-modified_by-uuid,Record notes-modified_by-username,Record notes-modified_by-displayname,Record notes-modified_by-email,Record notes-modified_by-active,Record notes-modified_by-admin,Record notes-modified_time,Record notes-veldnaam,Record notes-notes
6534e494-1fcd-1784-ba9f-2fd66f3b0e32,,hockey,Hockey,Mensen die hockey spelen,field_hockey,Field hockey,People playing field hockey,NL-HlmNHA_1478_20010K00_05.jpg,,https://images.memorix.nl/ranh/thumb/500x500/c775de9c-ba03-a401-411e-824b60c2fd44.jpg,c775de9c-ba03-a401-411e-824b60c2fd44,NL-HlmNHA_1478_20010K00_05,5e00b0e2-cd32-e7ee-c5a5-17bbf2c0463d,179996,image/jp2,,,,,,,,,,
6687f90e-798d-5a52-6abd-dfd7d9b4bf2a,,demonstratie,Demonstratie,Protesterende en/of demonstrerende mensen / spandoeken en/of protestborden / mensen die zichtbaar scanderen. Heeft mogelijk overeenkomsten met het label 'optocht',protest,Protest,"People protesting, banners clear signal",NL-HlmNHA_1478_4776.jpg,,https://images.memorix.nl/ranh/thumb/500x500/d37c0c82-2508-cd82-1e03-2610cde1e574.jpg,d37c0c82-2508-cd82-1e03-2610cde1e574,NL-HlmNHA_1478_4776,aab18e5d-9476-9140-15ff-734e455a0157,38912,image/jp2,,,,,,,,,,
66d3272b-dc63-c875-b7a1-a15f38b87df4,,gymnastiek,Gymnastiek,Mensen die gymnastiek beoefenen (zowel binnen als buiten) en waarop de labels 'circus' of 'dansende_mensen' niet van toepassing zijn,gymnastics,Gymnastics,people performing gymnastics indoor and outdoor,NL-HlmNHA_1478_04699_G.jpg,,https://images.memorix.nl/ranh/thumb/500x500/5d3f4e8f-916f-26ac-48af-81526203843f.jpg,5d3f4e8f-916f-26ac-48af-81526203843f,NL-HlmNHA_1478_04699_G,e1b0fc58-1080-3915-1b1c-1ac02720b69b,91020,image/jp2,,,,,,,,,,
6ff8044e-49e7-1f15-2a95-fe6aa68b73e8,,kantoor,Kantoor,Binnenkant van een werkomgeving met of zonder mensen / bureautafels / computers / kantoorwerkplekken,office,Office,Pictures set in an office environment,NL-HlmNHA_1478_4027.jpg,,https://images.memorix.nl/ranh/thumb/500x500/a9f26398-343a-a4ae-525b-733906ffaa5a.jpg,a9f26398-343a-a4ae-525b-733906ffaa5a,NL-HlmNHA_1478_4027,3da4f226-fc86-8a71-bbc4-bd098cbd0e67,38991,image/jp2,,,,,,,,,,
70220364-262f-1396-f727-e8c114ed37ad,,auto,Auto,Foto's waarin één auto of meerdere auto's centraal staan,car,Car,Pictures that focus on a car,NL-HlmNHA_1478_04712_G.jpg,,https://images.memorix.nl/ranh/thumb/500x500/395a48a6-db26-59ea-d6ba-028d3edcd137.jpg,395a48a6-db26-59ea-d6ba-028d3edcd137,NL-HlmNHA_1478_04712_G,f8c5793a-baf1-1391-90ef-a08f16c353b6,91125,image/jp2,,,,,,,,,,
706a532f-8468-4566-b226-969428487150,,terras,Terras,"Foto's van een terras, met of zonder mensen",patio,Patio,Pictures of people sitting on a patio,NL-HlmNHA_1478_2878,,https://images.memorix.nl/ranh/thumb/500x500/f332229c-55c4-d252-0342-7768e22b37a2.jpg,f332229c-55c4-d252-0342-7768e22b37a2,NL-HlmNHA_1478_2878,eb6e8959-437b-f060-06a3-76ca51e19d87,38520,image/jp2,,,,,,,,,,
716595d3-8302-c8ce-3dd7-cc094a31a170,,uitreiking_huldiging,Uitreiking huldiging,"Ceremoniële situatie (of receptie) waarbij een prijs, certificaat of diploma uitgereikt en/of in ontvangst genomen wordt, meestal met toeschouwers / huldiging van één of meerdere personen door middel van een medaille, bloemen, formele onderscheiding  ",ceremony_,Ceremony ,"A group of people bundled together for a ceremony. This could be awards, flowers, or a medal.",NL-HlmNHA_1478_1929.jpg,,https://images.memorix.nl/ranh/thumb/500x500/13332dcf-dfa7-f15c-c057-282bc1135380.jpg,13332dcf-dfa7-f15c-c057-282bc1135380,NL-HlmNHA_1478_1929,521a2e99-4e40-4c97-1b5e-751c0c92bb7e,74680,image/jp2,,,,,,,,,,
72f3d178-5079-6d8f-3052-c433bf564b98,,amfitheater,Amfitheater,"Foto's van een amfitheater, een open theateropstelling in de buitenlucht",amphitheater,Amphitheater,Picture of an amphitheater,NL-HlmNHA_1478_08194_G.jpg,,https://images.memorix.nl/ranh/thumb/500x500/87e5cae5-e72a-8652-688b-0a5f0f2cfce1.jpg,87e5cae5-e72a-8652-688b-0a5f0f2cfce1,NL-HlmNHA_1478_08194_G,a8a9b085-a197-c3db-66ce-cc0d05518ce4,91650,image/jp2,,,,,,,,,,
73462d2b-cd76-a85e-c17e-2b80387214d3,,sport_overig,Sport overig,"Foto’s van sport die niet de volgende labels betreffen: 'basketbal_korfbal', 'biljart', 'boksen', 'cricket', 'golf', 'handbal', 'hockey', 'honkbal', 'roeien', 'rugby', 'schaatsen', 'schaken_dammen', 'tafel_tennis', 'tennis', 'vechtsport', 'voetbal, 'volleybal', 'waterpolo', 'wielrennen', 'windsurfen' en 'zaalvoetbal'",sports,Sports,,NL-HlmNHA_1478_30269K00_23,,https://images.memorix.nl/ranh/thumb/500x500/42920223-f051-64a3-9ef3-749677cd7c66.jpg,42920223-f051-64a3-9ef3-749677cd7c66,NL-HlmNHA_1478_30269K00_23,a9b849a9-1ab8-4809-8beb-364b004f5cd5,1715641,image/jp2,,,,,,,,,,
7ab5c31c-f58c-5305-d70b-74ee936db03c,,militair,Militair,Foto's van militairen / mensen met militaire uniformen / militaire voertuigen,military,Military,picture with military personnel,NL-HlmNHA_1478_08343_G.jpg,,https://images.memorix.nl/ranh/thumb/500x500/bcbad312-8235-4097-d859-2f3bbd3791bf.jpg,bcbad312-8235-4097-d859-2f3bbd3791bf,NL-HlmNHA_1478_08343_G,cf755101-83db-66af-3b21-5c5397f2dfec,90338,image/jp2,,,,,,,,,,
